Trajectory summary
Episodes: 763
Success rate: 100.0%
Path length (avg): 21.52
Total reward (avg): 0.00
Mean step (avg): 0.11
Total steps: 152500
Avg steps per episode: 199.87
Path length per episode:
ep_00000: path_length=20.86, steps=200
ep_00001: path_length=22.53, steps=200
ep_00002: path_length=21.01, steps=200
ep_00003: path_length=21.45, steps=200
ep_00004: path_length=22.43, steps=200
ep_00005: path_length=19.74, steps=200
ep_00006: path_length=22.01, steps=200
ep_00007: path_length=19.85, steps=200
ep_00008: path_length=21.66, steps=200
ep_00009: path_length=20.13, steps=200
ep_00010: path_length=20.93, steps=200
ep_00011: path_length=22.57, steps=200
ep_00012: path_length=22.83, steps=200
ep_00013: path_length=22.35, steps=200
ep_00014: path_length=20.77, steps=200
ep_00015: path_length=22.19, steps=200
ep_00016: path_length=21.88, steps=200
ep_00017: path_length=22.06, steps=200
ep_00018: path_length=20.54, steps=200
ep_00019: path_length=21.92, steps=200
ep_00020: path_length=20.55, steps=200
ep_00021: path_length=22.42, steps=200
ep_00022: path_length=23.64, steps=200
ep_00023: path_length=20.66, steps=200
ep_00024: path_length=22.49, steps=200
ep_00025: path_length=23.48, steps=200
ep_00026: path_length=20.97, steps=200
ep_00027: path_length=21.49, steps=200
ep_00028: path_length=20.37, steps=200
ep_00029: path_length=22.66, steps=200
ep_00030: path_length=20.83, steps=200
ep_00031: path_length=22.03, steps=200
ep_00032: path_length=21.25, steps=200
ep_00033: path_length=21.30, steps=200
ep_00034: path_length=22.94, steps=200
ep_00035: path_length=21.44, steps=200
ep_00036: path_length=21.43, steps=200
ep_00037: path_length=19.80, steps=200
ep_00038: path_length=23.55, steps=200
ep_00039: path_length=22.54, steps=200
ep_00040: path_length=21.57, steps=200
ep_00041: path_length=22.80, steps=200
ep_00042: path_length=23.61, steps=200
ep_00043: path_length=21.32, steps=200
ep_00044: path_length=22.19, steps=200
ep_00045: path_length=21.69, steps=200
ep_00046: path_length=19.98, steps=200
ep_00047: path_length=22.51, steps=200
ep_00048: path_length=21.71, steps=200
ep_00049: path_length=22.20, steps=200
ep_00050: path_length=21.68, steps=200
ep_00051: path_length=22.75, steps=200
ep_00052: path_length=20.85, steps=200
ep_00053: path_length=21.34, steps=200
ep_00054: path_length=21.61, steps=200
ep_00055: path_length=22.68, steps=200
ep_00056: path_length=22.99, steps=200
ep_00057: path_length=20.75, steps=200
ep_00058: path_length=20.72, steps=200
ep_00059: path_length=22.07, steps=200
ep_00060: path_length=22.14, steps=200
ep_00061: path_length=22.05, steps=200
ep_00062: path_length=22.33, steps=200
ep_00063: path_length=22.62, steps=200
ep_00064: path_length=21.75, steps=200
ep_00065: path_length=20.75, steps=200
ep_00066: path_length=20.06, steps=200
ep_00067: path_length=21.38, steps=200
ep_00068: path_length=21.43, steps=200
ep_00069: path_length=24.49, steps=200
ep_00070: path_length=22.56, steps=200
ep_00071: path_length=21.81, steps=200
ep_00072: path_length=23.65, steps=200
ep_00073: path_length=21.73, steps=200
ep_00074: path_length=21.48, steps=200
ep_00075: path_length=22.27, steps=200
ep_00076: path_length=21.56, steps=200
ep_00077: path_length=21.45, steps=200
ep_00078: path_length=22.31, steps=200
ep_00079: path_length=23.21, steps=200
ep_00080: path_length=21.28, steps=200
ep_00081: path_length=20.45, steps=200
ep_00082: path_length=21.68, steps=200
ep_00083: path_length=19.78, steps=200
ep_00084: path_length=20.22, steps=200
ep_00085: path_length=22.41, steps=200
ep_00086: path_length=23.10, steps=200
ep_00087: path_length=20.73, steps=200
ep_00088: path_length=21.78, steps=200
ep_00089: path_length=20.24, steps=200
ep_00090: path_length=20.79, steps=200
ep_00091: path_length=21.34, steps=200
ep_00092: path_length=20.95, steps=200
ep_00093: path_length=20.78, steps=200
ep_00094: path_length=23.71, steps=200
ep_00095: path_length=23.01, steps=200
ep_00096: path_length=22.50, steps=200
ep_00097: path_length=20.12, steps=200
ep_00098: path_length=20.63, steps=200
ep_00099: path_length=21.59, steps=200
ep_00100: path_length=22.10, steps=200
ep_00101: path_length=21.44, steps=200
ep_00102: path_length=23.23, steps=200
